instantHour,dteday,seasonHour,yrHour,mnthHour,hr,holidayHour,weekdayHour,workingdayHour,weathersitHour,tempHour,atempHour,humHour,windspeedHour,casualHour,registeredHour,cntHour,instantDay,seasonDay,yrDay,mnthDay,holidayDay,weekdayDay,workingdayDay,weathersitDay,tempDay,atempDay,humDay,windspeedDay,casualDay,registeredDay,cntDay
11,2011-01-01,Dingin,0,Jan,10,0,6,0,Baik,9.86,0.3939,76.0,16.997899999999998,12.0,24.0,36.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
12,2011-01-01,Dingin,0,Jan,11,0,6,0,Baik,8.919999999999998,0.3333,81.0,19.0012,26.0,30.0,56.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
13,2011-01-01,Dingin,0,Jan,12,0,6,0,Baik,11.739999999999998,0.4242,77.0,19.0012,29.0,55.0,84.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
14,2011-01-01,Dingin,0,Jan,13,0,6,0,Mendung,13.620000000000001,0.4545,72.0,19.999499999999998,47.0,47.0,94.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
15,2011-01-01,Dingin,0,Jan,14,0,6,0,Mendung,13.620000000000001,0.4545,72.0,19.0012,35.0,71.0,106.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
16,2011-01-01,Dingin,0,Jan,15,0,6,0,Mendung,12.68,0.4394,77.0,19.999499999999998,40.0,70.0,110.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
17,2011-01-01,Dingin,0,Jan,16,0,6,0,Mendung,11.739999999999998,0.4242,82.0,19.999499999999998,41.0,52.0,93.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
18,2011-01-01,Dingin,0,Jan,17,0,6,0,Mendung,12.68,0.4394,82.0,19.0012,15.0,52.0,67.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
19,2011-01-01,Dingin,0,Jan,18,0,6,0,Buruk,11.739999999999998,0.4242,88.0,16.997899999999998,9.0,26.0,35.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
20,2011-01-01,Dingin,0,Jan,19,0,6,0,Buruk,11.739999999999998,0.4242,88.0,16.997899999999998,6.0,31.0,37.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
21,2011-01-01,Dingin,0,Jan,20,0,6,0,Mendung,10.8,0.4091,87.0,16.997899999999998,11.0,25.0,36.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
22,2011-01-01,Dingin,0,Jan,21,0,6,0,Mendung,10.8,0.4091,87.0,12.998000000000001,3.0,31.0,34.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
23,2011-01-01,Dingin,0,Jan,22,0,6,0,Mendung,10.8,0.4091,94.0,15.001299999999999,11.0,17.0,28.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
24,2011-01-01,Dingin,0,Jan,23,0,6,0,Mendung,13.620000000000001,0.4545,88.0,19.999499999999998,15.0,24.0,39.0,1,Dingin,0,Jan,0,6,0,Mendung,8.175849,0.363625,80.58330000000001,10.749882,331.0,654,985
25,2011-01-02,Dingin,0,Jan,0,0,0,0,Mendung,13.620000000000001,0.4545,88.0,19.999499999999998,4.0,13.0,17.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
26,2011-01-02,Dingin,0,Jan,1,0,0,0,Mendung,12.68,0.4394,94.0,16.997899999999998,1.0,16.0,17.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
27,2011-01-02,Dingin,0,Jan,2,0,0,0,Mendung,11.739999999999998,0.4242,100.0,19.0012,1.0,8.0,9.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
28,2011-01-02,Dingin,0,Jan,3,0,0,0,Mendung,13.620000000000001,0.4545,94.0,12.998000000000001,2.0,4.0,6.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
29,2011-01-02,Dingin,0,Jan,4,0,0,0,Mendung,13.620000000000001,0.4545,94.0,12.998000000000001,2.0,1.0,3.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
30,2011-01-02,Dingin,0,Jan,6,0,0,0,Buruk,11.739999999999998,0.4242,77.0,19.999499999999998,0.0,2.0,2.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
31,2011-01-02,Dingin,0,Jan,7,0,0,0,Mendung,10.8,0.4091,76.0,12.998000000000001,0.0,1.0,1.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
32,2011-01-02,Dingin,0,Jan,8,0,0,0,Buruk,10.8,0.4091,71.0,15.001299999999999,0.0,8.0,8.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
33,2011-01-02,Dingin,0,Jan,9,0,0,0,Mendung,9.86,0.3939,76.0,15.001299999999999,1.0,19.0,20.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
34,2011-01-02,Dingin,0,Jan,10,0,0,0,Mendung,8.919999999999998,0.3485,81.0,15.001299999999999,7.0,46.0,53.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
35,2011-01-02,Dingin,0,Jan,11,0,0,0,Mendung,8.919999999999998,0.3333,71.0,16.997899999999998,16.0,54.0,70.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
36,2011-01-02,Dingin,0,Jan,12,0,0,0,Mendung,8.919999999999998,0.3333,66.0,19.999499999999998,20.0,73.0,93.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
37,2011-01-02,Dingin,0,Jan,13,0,0,0,Mendung,8.919999999999998,0.3485,66.0,8.9981,11.0,64.0,75.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
38,2011-01-02,Dingin,0,Jan,14,0,0,0,Buruk,8.919999999999998,0.3485,76.0,12.998000000000001,4.0,55.0,59.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
39,2011-01-02,Dingin,0,Jan,15,0,0,0,Buruk,7.98,0.3333,81.0,11.0014,19.0,55.0,74.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
40,2011-01-02,Dingin,0,Jan,16,0,0,0,Buruk,7.98,0.3333,71.0,11.0014,9.0,67.0,76.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
41,2011-01-02,Dingin,0,Jan,17,0,0,0,Baik,7.98,0.3333,56.99999999999999,12.998000000000001,7.0,58.0,65.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
42,2011-01-02,Dingin,0,Jan,18,0,0,0,Mendung,8.919999999999998,0.3333,46.0,22.0028,10.0,43.0,53.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
43,2011-01-02,Dingin,0,Jan,19,0,0,0,Baik,7.040000000000001,0.2879,42.0,30.002599999999997,1.0,29.0,30.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
44,2011-01-02,Dingin,0,Jan,20,0,0,0,Baik,6.1,0.2727,39.0,23.9994,5.0,17.0,22.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
45,2011-01-02,Dingin,0,Jan,21,0,0,0,Baik,4.220000000000001,0.2273,44.0,22.0028,11.0,20.0,31.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
46,2011-01-02,Dingin,0,Jan,22,0,0,0,Baik,3.2799999999999994,0.2121,44.0,19.999499999999998,0.0,9.0,9.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
47,2011-01-02,Dingin,0,Jan,23,0,0,0,Baik,2.34,0.2273,47.0,11.0014,0.0,8.0,8.0,2,Dingin,0,Jan,0,0,0,Mendung,9.083466000000001,0.353739,69.6087,16.652113,131.0,670,801
48,2011-01-03,Dingin,0,Jan,0,0,1,1,Baik,2.34,0.197,44.0,23.9994,0.0,5.0,5.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
49,2011-01-03,Dingin,0,Jan,1,0,1,1,Baik,1.4000000000000004,0.1667,44.0,27.999299999999998,0.0,2.0,2.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
50,2011-01-03,Dingin,0,Jan,4,0,1,1,Baik,-0.47999999999999954,0.1364,47.0,26.0027,0.0,1.0,1.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
51,2011-01-03,Dingin,0,Jan,5,0,1,1,Baik,-0.47999999999999954,0.1364,47.0,19.0012,0.0,3.0,3.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
52,2011-01-03,Dingin,0,Jan,6,0,1,1,Baik,-1.419999999999999,0.1061,50.0,26.0027,0.0,30.0,30.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
53,2011-01-03,Dingin,0,Jan,7,0,1,1,Baik,-1.419999999999999,0.1364,50.0,12.998000000000001,1.0,63.0,64.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
54,2011-01-03,Dingin,0,Jan,8,0,1,1,Baik,-1.419999999999999,0.1212,50.0,19.0012,1.0,153.0,154.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
55,2011-01-03,Dingin,0,Jan,9,0,1,1,Baik,-0.47999999999999954,0.1364,43.0,26.0027,7.0,81.0,88.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
56,2011-01-03,Dingin,0,Jan,10,0,1,1,Baik,0.4599999999999991,0.1667,43.0,16.997899999999998,11.0,33.0,44.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
57,2011-01-03,Dingin,0,Jan,11,0,1,1,Baik,1.4000000000000004,0.1818,40.0,22.0028,10.0,41.0,51.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
58,2011-01-03,Dingin,0,Jan,12,0,1,1,Baik,2.34,0.2121,35.0,19.999499999999998,13.0,48.0,61.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
59,2011-01-03,Dingin,0,Jan,13,0,1,1,Baik,3.2799999999999994,0.2121,35.0,19.0012,8.0,53.0,61.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
60,2011-01-03,Dingin,0,Jan,14,0,1,1,Baik,4.220000000000001,0.2424,30.0,19.0012,11.0,66.0,77.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
61,2011-01-03,Dingin,0,Jan,15,0,1,1,Baik,4.220000000000001,0.2424,30.0,16.997899999999998,14.0,58.0,72.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
62,2011-01-03,Dingin,0,Jan,16,0,1,1,Baik,4.220000000000001,0.2424,30.0,16.997899999999998,9.0,67.0,76.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
63,2011-01-03,Dingin,0,Jan,17,0,1,1,Baik,3.2799999999999994,0.2273,30.0,15.001299999999999,11.0,146.0,157.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
64,2011-01-03,Dingin,0,Jan,18,0,1,1,Baik,3.2799999999999994,0.2576,32.0,7.0015,9.0,148.0,157.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
65,2011-01-03,Dingin,0,Jan,19,0,1,1,Baik,1.4000000000000004,0.2576,47.0,0.0,8.0,102.0,110.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
66,2011-01-03,Dingin,0,Jan,20,0,1,1,Baik,1.4000000000000004,0.2273,47.0,7.0015,3.0,49.0,52.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
67,2011-01-03,Dingin,0,Jan,21,0,1,1,Baik,0.4599999999999991,0.197,64.0,8.9981,3.0,49.0,52.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
68,2011-01-03,Dingin,0,Jan,22,0,1,1,Baik,-1.419999999999999,0.1515,69.0,8.9981,0.0,20.0,20.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
69,2011-01-03,Dingin,0,Jan,23,0,1,1,Baik,0.4599999999999991,0.2121,55.00000000000001,7.0015,1.0,11.0,12.0,3,Dingin,0,Jan,0,1,1,Baik,1.229108,0.189405,43.7273,16.636703,120.0,1229,1349
70,2011-01-04,Dingin,0,Jan,0,0,2,1,Baik,-0.47999999999999954,0.1818,55.00000000000001,7.0015,0.0,5.0,5.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
71,2011-01-04,Dingin,0,Jan,1,0,2,1,Baik,-0.47999999999999954,0.1818,59.0,7.0015,0.0,2.0,2.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
72,2011-01-04,Dingin,0,Jan,2,0,2,1,Baik,-1.419999999999999,0.1515,63.0,8.9981,0.0,1.0,1.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
73,2011-01-04,Dingin,0,Jan,4,0,2,1,Baik,-1.419999999999999,0.1818,63.0,6.0032,0.0,2.0,2.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
74,2011-01-04,Dingin,0,Jan,5,0,2,1,Baik,-2.3600000000000003,0.1515,68.0,7.0015,0.0,4.0,4.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
75,2011-01-04,Dingin,0,Jan,6,0,2,1,Baik,-2.3600000000000003,0.1515,74.0,7.0015,0.0,36.0,36.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
76,2011-01-04,Dingin,0,Jan,7,0,2,1,Baik,-2.3600000000000003,0.1515,74.0,8.9981,2.0,92.0,94.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
77,2011-01-04,Dingin,0,Jan,8,0,2,1,Baik,-1.419999999999999,0.1515,69.0,11.0014,2.0,177.0,179.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
78,2011-01-04,Dingin,0,Jan,9,0,2,1,Baik,-0.47999999999999954,0.1515,64.0,15.001299999999999,2.0,98.0,100.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
79,2011-01-04,Dingin,0,Jan,10,0,2,1,Mendung,-0.47999999999999954,0.1364,69.0,22.0028,5.0,37.0,42.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
80,2011-01-04,Dingin,0,Jan,11,0,2,1,Baik,2.34,0.2121,51.0,19.999499999999998,7.0,50.0,57.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
81,2011-01-04,Dingin,0,Jan,12,0,2,1,Baik,2.34,0.2273,51.0,11.0014,12.0,66.0,78.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
82,2011-01-04,Dingin,0,Jan,13,0,2,1,Baik,3.2799999999999994,0.2273,56.00000000000001,12.998000000000001,18.0,79.0,97.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
83,2011-01-04,Dingin,0,Jan,14,0,2,1,Baik,4.220000000000001,0.2576,52.0,15.001299999999999,9.0,54.0,63.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
84,2011-01-04,Dingin,0,Jan,15,0,2,1,Baik,5.160000000000002,0.2727,52.0,16.997899999999998,17.0,48.0,65.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
85,2011-01-04,Dingin,0,Jan,16,0,2,1,Baik,6.1,0.2879,49.0,16.997899999999998,15.0,68.0,83.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
86,2011-01-04,Dingin,0,Jan,17,0,2,1,Baik,5.160000000000002,0.2727,48.0,15.001299999999999,10.0,202.0,212.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
87,2011-01-04,Dingin,0,Jan,18,0,2,1,Baik,4.220000000000001,0.2576,48.0,12.998000000000001,3.0,179.0,182.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
88,2011-01-04,Dingin,0,Jan,19,0,2,1,Baik,3.2799999999999994,0.2576,48.0,7.0015,2.0,110.0,112.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
89,2011-01-04,Dingin,0,Jan,20,0,2,1,Baik,3.2799999999999994,0.2576,48.0,7.0015,1.0,53.0,54.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
90,2011-01-04,Dingin,0,Jan,21,0,2,1,Baik,2.34,0.2727,64.0,0.0,0.0,48.0,48.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
91,2011-01-04,Dingin,0,Jan,22,0,2,1,Baik,2.34,0.2576,64.0,6.0032,1.0,34.0,35.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
92,2011-01-04,Dingin,0,Jan,23,0,2,1,Baik,1.4000000000000004,0.2273,69.0,6.0032,2.0,9.0,11.0,4,Dingin,0,Jan,0,2,1,Baik,1.4000000000000004,0.212122,59.0435,10.739832,108.0,1454,1562
93,2011-01-05,Dingin,0,Jan,0,0,3,1,Baik,1.4000000000000004,0.2576,64.0,0.0,0.0,6.0,6.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
94,2011-01-05,Dingin,0,Jan,1,0,3,1,Baik,-0.47999999999999954,0.197,74.0,6.0032,0.0,6.0,6.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
95,2011-01-05,Dingin,0,Jan,2,0,3,1,Baik,-0.47999999999999954,0.197,74.0,6.0032,0.0,2.0,2.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
96,2011-01-05,Dingin,0,Jan,4,0,3,1,Baik,3.2799999999999994,0.2273,48.0,15.001299999999999,0.0,2.0,2.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
97,2011-01-05,Dingin,0,Jan,5,0,3,1,Baik,2.34,0.2273,47.0,11.0014,0.0,3.0,3.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
98,2011-01-05,Dingin,0,Jan,6,0,3,1,Baik,1.4000000000000004,0.197,47.0,15.001299999999999,0.0,33.0,33.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
99,2011-01-05,Dingin,0,Jan,7,0,3,1,Baik,0.4599999999999991,0.1818,43.0,12.998000000000001,1.0,87.0,88.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
100,2011-01-05,Dingin,0,Jan,8,0,3,1,Baik,1.4000000000000004,0.1818,40.0,19.999499999999998,3.0,192.0,195.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
101,2011-01-05,Dingin,0,Jan,9,0,3,1,Baik,2.34,0.197,37.0,22.0028,6.0,109.0,115.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
102,2011-01-05,Dingin,0,Jan,10,0,3,1,Baik,2.34,0.197,37.0,22.0028,4.0,53.0,57.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
103,2011-01-05,Dingin,0,Jan,11,0,3,1,Baik,4.220000000000001,0.2273,33.0,22.0028,12.0,34.0,46.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
104,2011-01-05,Dingin,0,Jan,12,0,3,1,Baik,4.220000000000001,0.2273,33.0,22.0028,5.0,74.0,79.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
105,2011-01-05,Dingin,0,Jan,13,0,3,1,Baik,5.160000000000002,0.2576,30.0,19.999499999999998,6.0,65.0,71.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
106,2011-01-05,Dingin,0,Jan,14,0,3,1,Baik,6.1,0.2879,28.000000000000004,12.998000000000001,10.0,52.0,62.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
107,2011-01-05,Dingin,0,Jan,15,0,3,1,Baik,6.1,0.2879,28.000000000000004,12.998000000000001,7.0,55.0,62.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
108,2011-01-05,Dingin,0,Jan,16,0,3,1,Baik,6.1,0.3182,28.000000000000004,6.0032,4.0,85.0,89.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
109,2011-01-05,Dingin,0,Jan,17,0,3,1,Baik,3.2799999999999994,0.2273,38.0,12.998000000000001,4.0,186.0,190.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
110,2011-01-05,Dingin,0,Jan,18,0,3,1,Baik,3.2799999999999994,0.2424,38.0,8.9981,3.0,166.0,169.0,5,Dingin,0,Jan,0,3,1,Baik,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82.0,1518,1600
